# x	y	u	v	flags	mask
2.0000e-01	1.2160e+01	2.9409e+00	2.5512e-02	0.0000e+00	0.0000e+00
4.1000e-01	1.2160e+01	2.9372e+00	3.7775e-02	0.0000e+00	0.0000e+00
6.2000e-01	1.2160e+01	2.8973e+00	6.1923e-02	1.0000e+00	0.0000e+00
8.3000e-01	1.2160e+01	2.8777e+00	1.0908e-01	0.0000e+00	0.0000e+00
1.0400e+00	1.2160e+01	2.9488e+00	5.4974e-02	0.0000e+00	0.0000e+00
1.2500e+00	1.2160e+01	2.9183e+00	1.9046e-02	0.0000e+00	0.0000e+00
1.4600e+00	1.2160e+01	2.9634e+00	3.0801e-03	0.0000e+00	0.0000e+00
1.6700e+00	1.2160e+01	1.9788e+00	7.5169e-01	1.0000e+00	0.0000e+00
1.8800e+00	1.2160e+01	1.5430e+00	3.3545e-01	1.0000e+00	0.0000e+00
2.0900e+00	1.2160e+01	1.2232e+00	-5.7290e-02	1.0000e+00	0.0000e+00
2.3000e+00	1.2160e+01	1.0120e+00	-2.8928e-01	1.0000e+00	0.0000e+00
2.5100e+00	1.2160e+01	8.3896e-01	-9.2261e-01	1.0000e+00	0.0000e+00
2.7200e+00	1.2160e+01	8.5585e-01	-1.0517e+00	1.0000e+00	0.0000e+00
2.9300e+00	1.2160e+01	9.6243e-01	-1.1626e+00	1.0000e+00	0.0000e+00
3.1400e+00	1.2160e+01	8.7115e-02	4.6843e+00	0.0000e+00	0.0000e+00
3.3500e+00	1.2160e+01	1.8724e+00	-1.0152e+00	1.0000e+00	0.0000e+00
3.5600e+00	1.2160e+01	2.9843e+00	2.2574e-01	0.0000e+00	0.0000e+00
3.7700e+00	1.2160e+01	2.9859e+00	2.1608e-01	0.0000e+00	0.0000e+00
3.9800e+00	1.2160e+01	3.0220e+00	1.9447e-01	0.0000e+00	0.0000e+00
4.1900e+00	1.2160e+01	3.0087e+00	2.5754e-01	0.0000e+00	0.0000e+00
4.4000e+00	1.2160e+01	2.9751e+00	3.0946e-01	1.0000e+00	0.0000e+00
4.6100e+00	1.2160e+01	2.9687e+00	2.3400e-01	0.0000e+00	0.0000e+00
4.8200e+00	1.2160e+01	2.9835e+00	3.2320e-01	0.0000e+00	0.0000e+00
5.0300e+00	1.2160e+01	2.9865e+00	3.2645e-01	0.0000e+00	0.0000e+00
5.2400e+00	1.2160e+01	3.0386e+00	2.5977e-01	0.0000e+00	0.0000e+00
5.4500e+00	1.2160e+01	3.0203e+00	2.8575e-01	0.0000e+00	0.0000e+00
5.6600e+00	1.2160e+01	2.9978e+00	3.5365e-01	0.0000e+00	0.0000e+00
5.8700e+00	1.2160e+01	3.0343e+00	3.1635e-01	0.0000e+00	0.0000e+00
6.0800e+00	1.2160e+01	3.0237e+00	2.1799e-01	0.0000e+00	0.0000e+00
6.2900e+00	1.2160e+01	3.0051e+00	2.1510e-01	0.0000e+00	0.0000e+00
6.5000e+00	1.2160e+01	3.0573e+00	2.9263e-01	1.0000e+00	0.0000e+00
